word_id,word
1,accessory
2,accessary
3,ad
4,add
5,ail
6,ale
7,air
8,heir
9,aisle
10,I'll
11,isle
12,all
13,awl
14,allowed
15,aloud
16,alms
17,arms
18,altar
19,alter
20,arc
21,ark
22,aren't
23,aunt
24,ate
25,eight
26,auger
27,augur
28,auk
29,orc
30,aural
31,oral
32,away
33,aweigh
34,awe
35,oar
36,or
37,ore
38,axel
39,axle
40,aye
41,eye
42,i
43,bail
44,bale
45,bait
46,bate
47,baize
48,bays
49,bald
50,bawled
51,ball
52,bawl
53,band
54,banned
55,bard
56,barred
57,bare
58,bear
59,bark
60,barque
61,baron
62,barren
63,base
64,bass
65,bay
66,bey
67,bazaar
68,bizarre
69,be
70,bee
71,beach
72,beech
73,bean
74,been
75,beat
76,beet
77,beau
78,bow
79,beer
80,bier
81,bel
82,bell
83,belle
84,berry
85,bury
86,berth
87,birth
88,bight
89,bite
90,byte
91,billed
92,build
93,bitten
94,bittern
95,blew
96,blue
97,bloc
98,block
99,boar
100,bore
101,board
102,bored
103,boarder
104,border
105,dew 
106,due
107,die
108,dye
109,discreet
110,discrete
111,doe
112,doh
113,dough
114,done
115,dun
116,douse
117,dowse
118,draft
119,draught
120,dual
121,duel
122,earn
123,urn
124,eery
125,eyrie
126,ewe
127,yew
128,you
129,faint
130,feint
131,fah
132,far
133,fair
134,fare
135,farther
136,father
137,fate
138,f?te
139,faun
140,fawn
141,fay
142,fey
143,faze
144,phase
145,feat
146,feet
147,ferrule
148,ferule
149,few
150,phew
151,fie
152,phi
153,file
154,phial
155,find
156,find
157,fined
158,fir
159,fur
160,fizz
161,phiz
162,flair
163,flare
164,flaw
165,floor
166,flea
167,flee
168,flex
169,flecks
170,flew
171,flu
172,flue
173,floe
174,flow
175,flour
176,flower
177,foaled
178,fold
179,for
180,fore
181,four
182,foreword
183,forward
184,fort
185,fought
186,forth
187,fourth
188,foul
189,fowl
190,franc
191,frank
192,freeze
193,frieze
194,friar
195,fryer
196,furs
197,furze
198,gait
199,gate
200,galipot
201,gallipot
202,gallop
203,galop
204,gamble
205,gambol
206,gays
207,gaze
208,leach
209,leech
210,lead
211,led
212,leak
213,leek
214,lean
215,lien
216,lessen
217,lesson
218,levee
219,levy
220,liar
221,lyre
222,license
223,licence
224,licker
225,liquor
226,lie
227,lye
228,lieu
229,loo
230,links
231,lynx
232,lo
233,low
234,load
235,lode
236,lone
237,loan
238,locks
239,lox
240,loop
241,loupe
242,loot
243,lute
244,made
245,maid
246,mail
247,male
248,main
249,mane
250,maize
251,maze
252,mall
253,maul
254,manna
255,manner
256,mantel
257,mantle
258,mare
259,mayor
260,mark
261,marque
262,marshal
263,martial
264,marten
265,martin
266,mask
267,masque
268,maw
269,more
270,me
271,mi
272,mean
273,mien
274,meat
275,meet
276,mete
277,medal
278,meddle
279,metal
280,mettle
281,meter
282,metre
283,might
284,mite
285,miner
286,minor
287,mynah
288,mind
289,mined
290,missed
291,mist
292,moat
293,mote
294,moad
295,mowed
296,moor
297,more
298,moose
299,mousse
300,morning
301,mourning
302,muscle
303,mussel
304,naval
305,navel
306,nay
307,neigh
308,bold
309,bowled
310,boos
311,booze
312,born
313,borne
314,bough
315,bow
316,boy
317,buoy
318,brae
319,bray
320,braid
321,brayed
322,braise
323,brays
324,braze
325,brake
326,break
327,bread
328,bred
329,brews
330,bruise
331,bridal
332,bridle
333,broach
334,brooch
335,bur
336,burr
337,but
338,butt
339,buy
340,by
341,bye
342,buyer
343,byre
344,calendar
345,calender
346,call
347,caul
348,canvas
349,canvass
350,cast
351,caste
352,caster
353,castor
354,caught
355,court
356,caw
357,core
358,corps
359,cede
360,seed
361,ceiling
362,sealing
363,cell
364,sell
365,censer
366,censor
367,sensor
368,cent
369,scent
370,sent
371,cereal
372,serial
373,cheap
374,cheep
375,check
376,cheque
377,choir
378,quire
379,chord
380,cord
381,cite
382,sight
383,site
384,clack
385,claque
386,clew
387,clue
388,climb
389,clime
390,close
391,cloze
392,coal
393,kohl
394,coarse
395,course
396,coign
397,colonel
398,kernel
399,genes
400,jeans
401,gild
402,guild
403,gilt
404,guilt
405,giro
406,gyro
407,gnaw
408,nor
409,gneiss
410,nice
411,gorilla
412,guerilla
413,grate
414,great
415,greave
416,grieve
417,greys
418,graze
419,grisly
420,grizzly
421,groan
422,grown
423,guessed
424,guest
425,hail
426,hale
427,hair
428,hare
429,hall
430,haul
431,hangar
432,hanger
433,hart
434,heart
435,haw
436,hoar
437,whore
438,hay
439,hey
440,heal
441,heel
442,he'll
443,hear
444,here
445,heard
446,herd
447,he'd
448,heed
449,heroin
450,heroine
451,hew
452,hue
453,high
454,hi
455,higher
456,hire
457,him
458,hymn
459,ho
460,hoe
461,hoard
462,horde
463,hoarse
464,horse
465,holey
466,holy
467,wholly
468,hour
469,our
470,idle
471,idol
472,in
473,inn
474,indict
475,indite
476,it's
477,its
478,jewel
479,joule
480,key
481,quay
482,knave
483,nave
484,knead
485,need
486,knew
487,new
488,nigh
489,nye
490,none
491,nun
492,od
493,odd
494,ode
495,owed
496,oh
497,owe
498,one
499,won
500,packed
501,pact
502,packs
503,pax
504,pail
505,pale
506,pain
507,pane
508,pair
509,pare
510,pear
511,palate
512,palette
513,pallet
514,pascal
515,paschal
516,paten
517,patten
518,pattern
519,pours
520,paws
521,pause
522,pores
523,pawn
524,porn
525,pea
526,pee
527,peace
528,piece
529,peak
530,peek
531,peke
532,pique
533,peal
534,peel
535,pearl
536,purl
537,pedal
538,peddle
539,peer
540,pier
541,pi
542,pie
543,pica
544,pika
545,place
546,plaice
547,plain
548,plane
549,please
550,pleas
551,plum
552,plumb
553,pole
554,poll
555,Pole
556,poof
557,pouffe
558,practice
559,practise
560,praise
561,prays
562,preys
563,principal
564,principle
565,profit
566,prophet
567,quarts
568,quartz
569,quean
570,queen
571,rain
572,reign
573,rein
574,raise
575,rays
576,raze
577,rase
578,rehs
579,r?is
580,res
581,rap
582,wrap
583,raw
584,roar
585,read
586,reed
587,red
588,complacent
589,complaisant
590,complement
591,compliment
592,coo
593,coup
594,cops
595,copse
596,council
597,counsel
598,cousin
599,cozen
600,creak
601,creek
602,crews
603,cruise
604,cue
605,kyu
606,queue
607,curb
608,kerb
609,currant
610,current
611,cymbol
612,symbol
613,dam
614,damn
615,days
616,daze
617,dear
618,deer
619,descent
620,dissent
621,desert
622,dessert
623,deviser
624,divisor
625,knight
626,night
627,knit
628,nit
629,knob
630,nob
631,knock
632,nock
633,knot
634,not
635,know
636,no
637,knows
638,nose
639,laager
640,lager
641,lac
642,lack
643,lade
644,laid
645,lain
646,lane
647,lam
648,lamb
649,laps
650,lapse
651,larva
652,lava
653,lase
654,laze
655,law
656,lore
657,lay
658,ley
659,lea
660,lee
661,real
662,reel
663,reek
664,wreak
665,rest
666,wrest
667,retch
668,wretch
669,review
670,revue
671,rheum
672,room
673,right
674,rite
675,write
676,wright
677,ring
678,wring
679,road
680,rode
681,roe
682,row
683,role
684,roll
685,roo
686,roux
687,rue
688,rood
689,rude
690,root
691,route
692,rose
693,rouse
694,rows
695,rota
696,rotor
697,rote
698,wrote
699,rough
700,ruff
701,rung
702,wrung
703,rye
704,wry
705,saver
706,savour
707,spade
708,spayed
709,sale
710,sail
711,sane
712,seine
713,satire
714,satyr
715,sauce
716,source
717,saw
718,soar
719,sore
720,scene
721,seen
722,scull
723,skull
724,sea
725,seen
726,seam
727,seem
728,sear
729,seer
730,sere
731,seas
732,sees
733,seize
734,sew
735,so
736,sow
737,shake
738,sheikh
739,shear
740,sheer
741,shoe
742,shoo
743,sic
744,sick
745,side
746,sighed
747,sign
748,sine
749,sink
750,synch
751,slay
752,sleigh
753,sloe
754,slow
755,sole
756,soul
757,some
758,sum
759,son
760,sun
761,sort
762,sought
763,spa
764,spar
765,staid
766,stayed
767,stair
768,stare
769,stake
770,steak
771,stalk
772,stork
773,stationary
774,stationery
775,steal
776,steel
777,stile
778,style
779,storey
780,story
781,straight
782,strait
783,sweet
784,suite
785,swat
786,swot
787,tacks
788,tax
789,tale
790,tail
791,talk
792,torque
793,tare
794,tier
795,tear
796,taught
797,taut
798,tort
799,te
800,tea
801,tee
802,team 
803,teem
804,teas
805,tease
806,terce
807,terse
808,tern
809,turn
810,there
811,their
812,they're
813,threw
814,through
815,throes
816,throws
817,throne
818,thrown
819,thyme
820,time
821,tic
822,tick
823,tide
824,tied
825,tire
826,tyre
827,to 
828,too
829,two
830,toad
831,toed
832,towed
833,told
834,tolled
835,tole
836,toll
837,ton
838,tun
839,tor
840,tore
841,tough
842,tuff
843,troop
844,troupe
845,tuba
846,tuber
847,vain
848,vein
849,vane
850,vale
851,veil
852,vial 
853,vile
854,wail
855,wale
856,whale
857,Wales
858,whales
859,wain
860,wane
861,waist
862,waste
863,wait
864,weight
865,waive
866,wave
867,war
868,wore
869,wall 
870,waul
871,ware
872,wear
873,where
874,warn
875,worn
876,wart
877,wort
878,watt
879,what
880,wax
881,whacks
882,way
883,weigh
884,whey
885,we
886,wee
887,whee
888,weak
889,week
890,we'd
891,weed
892,weal
893,we'll
894,wheel
895,wean
896,ween
897,weather
898,whether
899,weaver
900,weever
901,weir
902,we're
903,were
904,whirr
905,wet
906,whet
907,wield
908,wheald
909,wheeled
910,which
911,witch
912,whig
913,wig
914,while
915,wile
916,whine
917,wine
918,whirl
919,whorl
920,whirled
921,world
922,whit
923,wit
924,white
925,wight
926,who's
927,whose
928,woe
929,whoa
930,wood
931,would
932,yaw
933,yore
934,your
935,you're
936,yoke
937,yolk
938,you'll
939,yule
